Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.3-192.168.10.15-389-59036-17,192.168.10.15,59036.0,192.168.10.3,389.0,17.0,6/7/2017 9:01,140.0,2.0,2.0,414.0,326.0,207.0,207.0,207.0,0.0,163.0,163.0,163.0,0.0,5285714.286,28571.42857,46.66666667,42.01587002,88.0,4.0,4.0,4.0,0.0,4.0,4.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,64.0,14285.71429,14285.71429,163.0,207.0,189.4,24.09979253,580.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,236.75,207.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,414.0,2.0,326.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.12-389-36950-17,192.168.10.12,36950.0,192.168.10.3,389.0,17.0,6/7/2017 9:01,132.0,2.0,2.0,186.0,330.0,93.0,93.0,93.0,0.0,165.0,165.0,165.0,0.0,3909090.909,30303.0303,44.0,70.14983963,125.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,15151.51515,15151.51515,93.0,165.0,121.8,39.43602414,1555.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.25,93.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,186.0,2.0,330.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.8-389-62412-17,192.168.10.8,62412.0,192.168.10.3,389.0,17.0,6/7/2017 9:01,128.0,2.0,2.0,326.0,326.0,163.0,163.0,163.0,0.0,163.0,163.0,163.0,0.0,5093750.0,31250.0,42.66666667,68.70468203,122.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,15625.0,15625.0,163.0,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,203.75,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,326.0,2.0,326.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.8-88-49175-6,192.168.10.3,88.0,192.168.10.8,49175.0,6.0,6/7/2017 9:01,2.0,3.0,0.0,18.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,9000000.0,1500000.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1500000.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,2053.0,-1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.15-88-49432-6,192.168.10.15,49432.0,192.168.10.3,88.0,6.0,6/7/2017 9:01,997.0,9.0,7.0,3142.0,3056.0,1556.0,0.0,349.1111111,684.2463819,1519.0,0.0,436.5714286,739.4443538,6216649.95,16048.14443,66.46666667,172.6469836,687.0,1.0,997.0,124.625,258.7204434,761.0,1.0,971.0,161.8333333,257.8793646,687.0,48.0,0.0,0.0,0.0,0.0,204.0,164.0,9027.081244,7021.06319,0.0,1556.0,364.5882353,670.7069087,449847.7574,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,387.375,349.1111111,436.5714286,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3142.0,7.0,3056.0,8192.0,2053.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.15-389-49429-6,192.168.10.15,49429.0,192.168.10.3,389.0,6.0,6/7/2017 9:01,10323.0,12.0,12.0,5814.0,964.0,1708.0,0.0,484.5,682.6000426,210.0,0.0,80.33333333,96.10915512,656592.0759,2324.905551,448.826087,1239.916407,5073.0,3.0,10302.0,936.5454545,1734.932642,5142.0,3.0,10286.0,935.0909091,1792.401208,5303.0,3.0,0.0,0.0,0.0,0.0,264.0,264.0,1162.452775,1162.452775,0.0,1708.0,271.12,511.6823005,261818.7767,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,282.4166667,484.5,80.33333333,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5814.0,12.0,964.0,8192.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.14-53-64807-17,192.168.10.14,64807.0,192.168.10.3,53.0,17.0,6/7/2017 9:01,876.0,2.0,2.0,72.0,194.0,36.0,36.0,36.0,0.0,97.0,97.0,97.0,0.0,303652.968,4566.210046,292.0,498.8306326,868.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,2283.105023,2283.105023,36.0,97.0,60.4,33.41107601,1116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.5,36.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,2.0,194.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.14-53-65207-17,192.168.10.14,65207.0,192.168.10.3,53.0,17.0,6/7/2017 9:01,23697.0,2.0,2.0,92.0,262.0,46.0,46.0,46.0,0.0,131.0,131.0,131.0,0.0,14938.59982,168.7977381,7899.0,13675.40716,23690.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,40.0,84.39886906,84.39886906,46.0,131.0,80.0,46.55641739,2167.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,46.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,92.0,2.0,262.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.14-53-54580-17,192.168.10.14,54580.0,192.168.10.3,53.0,17.0,6/7/2017 9:01,150.0,2.0,2.0,104.0,136.0,52.0,52.0,52.0,0.0,68.0,68.0,68.0,0.0,1600000.0,26666.66667,50.0,81.40638796,144.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,40.0,13333.33333,13333.33333,52.0,68.0,58.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,52.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,104.0,2.0,136.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.8-49671-49159-6,192.168.10.8,49159.0,192.168.10.3,49671.0,6.0,6/7/2017 9:01,40.0,1.0,3.0,6.0,18.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,600000.0,100000.0,13.33333333,21.36195996,38.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,60.0,25000.0,75000.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,7.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,18.0,251.0,2047.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.1-192.168.10.3-53-61566-17,192.168.10.3,61566.0,192.168.10.1,53.0,17.0,6/7/2017 9:01,318068.0,1.0,1.0,57.0,233.0,57.0,57.0,57.0,0.0,233.0,233.0,233.0,0.0,911.7547191,6.28796358,318068.0,0.0,318068.0,318068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,3.14398179,3.14398179,57.0,233.0,115.6666667,101.6136474,10325.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,173.5,57.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,1.0,233.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.8-49666-49162-6,192.168.10.3,49666.0,192.168.10.8,49162.0,6.0,6/7/2017 9:01,18.0,1.0,2.0,6.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,1000000.0,166666.6667,9.0,11.3137085,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,40.0,55555.55556,111111.1111,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,12.0,2051.0,253.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.50-53-19938-17,192.168.10.50,19938.0,192.168.10.3,53.0,17.0,6/7/2017 9:01,165.0,2.0,2.0,88.0,188.0,44.0,44.0,44.0,0.0,94.0,94.0,94.0,0.0,1672727.273,24242.42424,55.0,90.06664199,159.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,12121.21212,12121.21212,44.0,94.0,64.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,44.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,2.0,188.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-123-123-17,192.168.10.9,123.0,192.168.10.3,123.0,17.0,6/7/2017 9:01,64010951.0,4.0,4.0,192.0,192.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,5.998973519,0.124978615,9144421.571,24200000.0,64000000.0,3.0,64000000.0,21300000.0,37000000.0,64000000.0,3.0,64000000.0,21300000.0,37000000.0,64000000.0,3.0,0.0,0.0,0.0,0.0,128.0,128.0,0.062489307,0.062489307,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,192.0,4.0,192.0,-1.0,-1.0,3.0,32.0,104.0,0.0,104.0,104.0,64000000.0,0.0,64000000.0,64000000.0,BENIGN
192.168.10.3-192.168.10.9-88-1047-6,192.168.10.9,1047.0,192.168.10.3,88.0,6.0,6/7/2017 9:01,73.0,1.0,4.0,6.0,24.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,410958.9041,68493.15068,18.25,34.50966048,70.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,23.66666667,40.12895879,70.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,13698.63014,54794.52055,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,7.2,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,24.0,256.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.19-53-53457-17,192.168.10.19,53457.0,192.168.10.3,53.0,17.0,6/7/2017 9:02,167.0,2.0,2.0,88.0,188.0,44.0,44.0,44.0,0.0,94.0,94.0,94.0,0.0,1652694.611,23952.09581,55.66666667,56.88878038,116.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,40.0,40.0,11976.0479,11976.0479,44.0,94.0,64.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,44.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,2.0,188.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.14-54.201.188.11-59160-443-6,192.168.10.14,59160.0,54.201.188.11,443.0,6.0,6/7/2017 9:02,60856757.0,14.0,14.0,5522.0,3269.0,5129.0,0.0,394.4285714,1364.035061,1521.0,2.0,233.5,534.2082207,144.4539675,0.460096814,2253953.963,4225823.315,10000000.0,3.0,60900000.0,4681289.0,5204801.66,10100000.0,191.0,60800000.0,4674753.615,5222779.424,10100000.0,3.0,0.0,0.0,0.0,0.0,292.0,284.0,0.230048407,0.230048407,0.0,5129.0,303.137931,1003.103603,1006216.837,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,313.9642857,394.4285714,233.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5522.0,14.0,3269.0,8192.0,40880.0,13.0,20.0,118917.0,83351.68073,289055.0,84576.0,10000000.0,8983.297244,10000000.0,10000000.0,BENIGN
192.168.10.3-192.168.10.50-53-50268-17,192.168.10.50,50268.0,192.168.10.3,53.0,17.0,6/7/2017 9:02,200.0,2.0,2.0,64.0,158.0,32.0,32.0,32.0,0.0,79.0,79.0,79.0,0.0,1110000.0,20000.0,66.66666667,105.1966413,188.0,1.0,11.0,11.0,0.0,11.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,64.0,64.0,10000.0,10000.0,32.0,79.0,50.8,25.7429602,662.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.5,32.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,158.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.50-53-50637-17,192.168.10.50,50637.0,192.168.10.3,53.0,17.0,6/7/2017 9:02,165.0,2.0,2.0,88.0,188.0,44.0,44.0,44.0,0.0,94.0,94.0,94.0,0.0,1672727.273,24242.42424,55.0,54.83611948,113.0,4.0,4.0,4.0,0.0,4.0,4.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,64.0,12121.21212,12121.21212,44.0,94.0,64.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,44.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,2.0,188.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.50-53-65040-17,192.168.10.50,65040.0,192.168.10.3,53.0,17.0,6/7/2017 9:02,315.0,2.0,2.0,102.0,224.0,51.0,51.0,51.0,0.0,112.0,112.0,112.0,0.0,1034920.635,12698.4127,105.0,92.96773634,187.0,4.0,4.0,4.0,0.0,4.0,4.0,187.0,187.0,0.0,187.0,187.0,0.0,0.0,0.0,0.0,64.0,64.0,6349.206349,6349.206349,51.0,112.0,75.4,33.41107601,1116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,94.25,51.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.0,2.0,224.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.19-53-60048-17,192.168.10.19,60048.0,192.168.10.3,53.0,17.0,6/7/2017 9:02,199.0,2.0,2.0,88.0,188.0,44.0,44.0,44.0,0.0,94.0,94.0,94.0,0.0,1386934.673,20100.50251,66.33333333,30.89228598,102.0,48.0,48.0,48.0,0.0,48.0,48.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,40.0,40.0,10050.25126,10050.25126,44.0,94.0,64.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,44.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,2.0,188.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
